DATE,EVENT
13/03/2019,"13 March: The Suzano school shooting: In a school in Suzano, SĂo Paulo, Brazil, two ex-students kill 10 people and injure other 11."
15/03/2019,15 March:
23/03/2019,"23 March: the Islamic State terror organization's territory in Syria collapses amidst the Syrian Civil War. After years of global push back, the extremist group transitions from a proto-state into an insurgency as it retains offshoots and influence in regions across the globe."
30/04/2019,"30 April: Emperor Akihito of Japan abdicates from his throne, the first abdication by a Japanese monarch in almost two centuries. The abdication ends the Heisei era of Japan and ushers in the Reiwa era with new emperor Naruhito ascending the throne on May 1."
16/07/2019,16 July: The European Parliament elects Ursula von der Leyen as the new President of the European Commission.
24/07/2019,"24 July: Boris Johnson becomes Prime Minister of the United Kingdom after defeating Jeremy Hunt in a leadership contest, succeeding Theresa May."
01/12/2019,"1 December: The first known case of COVID-19 occurs in Wuhan, China; the disease wouldn't be publicly reported until the 31st, and would rapidly proliferate into a global pandemic throughout the next three months.[46][47]"
10/12/2019,"10 December: Sanna Marin, at the age of 34, becomes the world's youngest serving prime minister after being selected to lead Finland's Social Democratic Party."
18/12/2019,18 December: President Donald Trump is impeached by the United States House of Representatives.
03/01/2020,"3 January: A U.S. drone strike at Baghdad International Airport kills Iranian general Qasem Soleimani and Iraqi paramilitary leader Abu Mahdi al-Muhandis. Five days later, Iran carries out retaliatory missile strikes on U.S. bases in Iraq, while Ukraine International Airlines Flight 752 is shot down by the IRGC after being mistaken for an American cruise missile."
31/01/2020,31 January: The United Kingdom becomes the first member state to leave the European Union.
01/03/2020,"March: Beginning of the worldwide pandemic of SARS-CoV-2, the virus which causes COVID-19. Widespread economic disruption, including a stock market crash, occurred during the pandemic."
26/05/2020,"26 May: Protests caused by the murder of George Floyd break out across hundreds of cities in the United States and around the world. The officer responsible for Floyd's death, Derek Chauvin, would ultimately be convicted on two counts of murder and one of manslaughter in the wake of the protests."
30/06/2020,"30 June: China passes the controversial Hong Kong national security law, allowing China to crack down on opposition to Beijing at home or abroad."
11/08/2020,"11 August: Kamala Harris becomes the Democratic Party's nominee for vice-president of the United States, making her the first African-American, the first Asian-American and the third female vice presidential running mate on a major party ticket."
18/08/2020,"18 August: A mutiny in a military base by soldiers of the Malian Armed Forces develops into a coup d'état. President Ibrahim Boubacar Keőta and Prime Minister Boubou Cissé, among other senior governmental and military officers,"
04/09/2020,4 September: Kosovo and Serbia announce that they will normalize economic relations.
03/11/2020,"3 November: Joe Biden is elected as the 46th president of the United States, and Kamala Harris is elected as vice-president. Biden is the oldest person elected to a first term."
15/11/2020,15 November: President of Kyrgyzstan Sooronbay Jeenbekov resigns from office after weeks of massive protests in the wake of the October 2020 parliamentary election; opposition leader Sadyr Japarov assumes office as both the acting president and Prime Minister of Kyrgyzstan.
06/01/2021,"6 January: Pro-Trump rioters storm the US Capitol, disrupting the Congressional certification of United States President-elect Joe Biden. Trump is impeached a second time a week later for his role in the storming, making him the first US federal official to be impeached more than once and the first president to have his trial occur after his tenure expired."
01/02/2021,1 February: A coup d'état in Myanmar removes Aung San Suu Kyi from power and restores military rule.[50]
18/02/2021,"18 February: NASA's Mars 2020 mission (containing the Perseverance rover and Ingenuity helicopter drone) lands on Mars at Jezero Crater, after seven months of travel.[51]"
